sta_code,sku_code,长(CM),宽(CM),高(CM),qty
ORDER_0000,BOX_0000_0000,100.0,17.45,69.13,1
ORDER_0000,BOX_0000_0001,20.59,51.7,35.61,1
ORDER_0000,BOX_0000_0002,20.59,48.3,35.61,1
ORDER_0000,BOX_0000_0003,41.23,23.17,100.0,1
ORDER_0000,BOX_0000_0004,100.0,31.02,31.9,1
ORDER_0000,BOX_0000_0005,49.65,69.13,28.36,1
ORDER_0000,BOX_0000_0006,28.36,50.35,69.13,1
ORDER_0000,BOX_0000_0007,55.12,37.23,31.02,1
ORDER_0000,BOX_0000_0008,31.02,37.23,44.88,1
ORDER_0000,BOX_0000_0009,27.9,23.17,68.65,1
ORDER_0000,BOX_0000_0010,31.35,27.9,23.17,1
ORDER_0000,BOX_0000_0011,64.39,54.61,30.87,1
ORDER_0000,BOX_0000_0012,30.87,45.39,64.39,1
ORDER_0000,BOX_0000_0013,33.49,35.61,10.28,1
ORDER_0000,BOX_0000_0014,35.61,66.51,10.28,1
ORDER_0001,BOX_0001_0000,33.88,40.67,15.81,1
ORDER_0001,BOX_0001_0001,12.86,15.81,59.33,1
ORDER_0001,BOX_0001_0002,100.0,29.54,31.29,1
ORDER_0001,BOX_0001_0003,8.35,31.29,100.0,1
ORDER_0001,BOX_0001_0004,27.81,11.0,38.33,1
ORDER_0001,BOX_0001_0005,21.02,31.5,15.81,1
ORDER_0001,BOX_0001_0006,21.02,27.83,15.81,1
ORDER_0001,BOX_0001_0007,15.62,61.0,31.31,1
ORDER_0001,BOX_0001_0008,31.31,39.0,15.62,1
ORDER_0001,BOX_0001_0009,52.21,11.64,67.59,1
ORDER_0001,BOX_0001_0010,53.15,19.92,23.24,1
ORDER_0001,BOX_0001_0011,52.21,11.0,67.59,1
ORDER_0001,BOX_0001_0012,56.38,57.43,11.28,1
ORDER_0001,BOX_0001_0013,56.38,57.43,6.98,1
ORDER_0001,BOX_0001_0014,19.23,18.26,42.57,1
ORDER_0001,BOX_0001_0015,16.49,22.88,27.81,1
ORDER_0001,BOX_0001_0016,42.92,23.01,26.18,1
ORDER_0001,BOX_0001_0017,26.18,42.92,29.2,1
ORDER_0001,BOX_0001_0018,14.57,53.15,14.91,1
ORDER_0001,BOX_0001_0019,14.91,8.67,53.15,1
ORDER_0001,BOX_0001_0020,12.36,43.62,46.85,1
ORDER_0001,BOX_0001_0021,22.47,43.62,46.85,1
ORDER_0001,BOX_0001_0022,27.81,33.88,42.19,1
ORDER_0001,BOX_0001_0023,27.81,19.48,33.88,1
ORDER_0001,BOX_0001_0024,25.67,52.21,7.56,1
ORDER_0001,BOX_0001_0025,41.92,7.56,52.21,1
ORDER_0001,BOX_0001_0026,15.62,25.07,49.05,1
ORDER_0001,BOX_0001_0027,48.49,13.91,56.38,1
ORDER_0001,BOX_0001_0028,57.03,5.73,31.29,1
ORDER_0001,BOX_0001_0029,31.29,5.73,42.97,1
ORDER_0001,BOX_0001_0030,16.8,25.07,15.62,1
ORDER_0001,BOX_0001_0031,15.62,25.07,34.15,1
ORDER_0001,BOX_0001_0032,56.38,36.38,17.82,1
ORDER_0001,BOX_0001_0033,52.21,26.18,10.14,1
ORDER_0001,BOX_0001_0034,14.53,52.21,26.18,1
ORDER_0001,BOX_0001_0035,22.88,21.84,13.66,1
ORDER_0001,BOX_0001_0036,22.88,14.15,21.84,1
ORDER_0001,BOX_0001_0037,14.59,28.68,36.38,1
ORDER_0001,BOX_0001_0038,36.38,27.7,14.59,1
ORDER_0001,BOX_0001_0039,18.26,21.94,37.15,1
ORDER_0001,BOX_0001_0040,20.63,18.26,37.15,1
ORDER_0001,BOX_0001_0041,13.99,56.38,15.83,1
ORDER_0001,BOX_0001_0042,18.42,56.38,15.83,1
ORDER_0001,BOX_0001_0043,36.54,13.91,51.51,1
ORDER_0001,BOX_0001_0044,13.91,51.51,19.84,1
ORDER_0001,BOX_0001_0045,34.83,21.34,20.38,1
ORDER_0001,BOX_0001_0046,34.83,20.38,31.81,1
ORDER_0002,BOX_0002_0000,48.93,66.1,25.67,1
ORDER_0002,BOX_0002_0001,66.1,13.82,48.93,1
ORDER_0002,BOX_0002_0002,48.93,41.63,36.36,1
ORDER_0002,BOX_0002_0003,37.15,17.78,100.0,1
ORDER_0002,BOX_0002_0004,37.15,11.39,56.98,1
ORDER_0002,BOX_0002_0005,37.15,11.39,43.02,1
ORDER_0002,BOX_0002_0006,37.15,44.97,21.9,1
ORDER_0002,BOX_0002_0007,37.15,21.9,55.03,1
ORDER_0002,BOX_0002_0008,30.69,66.27,51.07,1
ORDER_0002,BOX_0002_0009,28.79,48.93,29.74,1
ORDER_0002,BOX_0002_0010,12.84,29.74,48.93,1
ORDER_0002,BOX_0002_0011,18.88,29.74,66.1,1
ORDER_0002,BOX_0002_0012,66.1,19.19,18.88,1
ORDER_0002,BOX_0002_0013,51.07,33.73,42.4,1
ORDER_0002,BOX_0002_0014,66.27,14.16,51.07,1
ORDER_0002,BOX_0002_0015,48.93,100.0,13.6,1
ORDER_0002,BOX_0002_0016,100.0,48.93,20.3,1
ORDER_0002,BOX_0002_0017,27.34,33.73,20.45,1
ORDER_0002,BOX_0002_0018,23.73,33.73,20.45,1
ORDER_0002,BOX_0002_0019,51.07,18.0,24.15,1
ORDER_0002,BOX_0002_0020,18.0,42.12,51.07,1
ORDER_0003,BOX_0003_0000,48.16,57.02,50.61,1
ORDER_0003,BOX_0003_0001,100.0,22.19,41.07,1
ORDER_0003,BOX_0003_0002,51.84,50.61,33.74,1
ORDER_0003,BOX_0003_0003,51.84,23.28,50.61,1
ORDER_0003,BOX_0003_0004,100.0,20.79,24.55,1
ORDER_0003,BOX_0003_0005,49.04,20.79,16.52,1
ORDER_0003,BOX_0003_0006,16.52,50.96,20.79,1
ORDER_0003,BOX_0003_0007,57.02,49.39,33.25,1
ORDER_0003,BOX_0003_0008,57.02,49.39,66.75,1
ORDER_0003,BOX_0003_0009,34.63,42.98,58.93,1
ORDER_0003,BOX_0003_0010,65.37,42.98,58.93,1
ORDER_0004,BOX_0004_0000,37.97,56.24,40.78,1
ORDER_0004,BOX_0004_0001,40.78,43.76,10.66,1
ORDER_0004,BOX_0004_0002,27.09,16.69,40.78,1
ORDER_0004,BOX_0004_0003,16.69,16.67,40.78,1
ORDER_0004,BOX_0004_0004,13.18,100.0,18.66,1
ORDER_0004,BOX_0004_0005,13.25,18.66,100.0,1
ORDER_0004,BOX_0004_0006,7.7,60.57,35.37,1
ORDER_0004,BOX_0004_0007,7.09,35.37,60.57,1
ORDER_0004,BOX_0004_0008,14.76,38.21,17.27,1
ORDER_0004,BOX_0004_0009,14.76,38.21,11.25,1
ORDER_0004,BOX_0004_0010,17.82,58.9,59.22,1
ORDER_0004,BOX_0004_0011,17.45,14.02,28.52,1
ORDER_0004,BOX_0004_0012,14.02,20.76,28.52,1
ORDER_0004,BOX_0004_0013,17.07,43.76,10.62,1
ORDER_0004,BOX_0004_0014,30.7,64.84,19.9,1
ORDER_0004,BOX_0004_0015,64.84,40.67,30.7,1
ORDER_0004,BOX_0004_0016,60.57,35.16,11.28,1
ORDER_0004,BOX_0004_0017,60.57,35.16,19.42,1
ORDER_0004,BOX_0004_0018,17.82,41.1,40.11,1
ORDER_0004,BOX_0004_0019,43.76,10.62,11.32,1
ORDER_0004,BOX_0004_0020,10.62,43.76,12.39,1
ORDER_0004,BOX_0004_0021,60.17,24.24,21.61,1
ORDER_0004,BOX_0004_0022,60.17,34.98,21.61,1
ORDER_0004,BOX_0004_0023,17.82,41.1,7.25,1
ORDER_0004,BOX_0004_0024,30.45,26.42,28.52,1
ORDER_0004,BOX_0004_0025,26.42,28.52,30.12,1
ORDER_0004,BOX_0004_0026,22.12,37.43,35.83,1
ORDER_0004,BOX_0004_0027,37.43,26.2,22.12,1
ORDER_0004,BOX_0004_0028,13.5,28.52,38.21,1
ORDER_0004,BOX_0004_0029,18.29,38.21,28.52,1
ORDER_0004,BOX_0004_0030,35.6,38.01,18.66,1
ORDER_0004,BOX_0004_0031,21.61,16.99,59.22,1
ORDER_0004,BOX_0004_0032,13.85,62.03,62.57,1
ORDER_0004,BOX_0004_0033,8.27,62.03,62.57,1
ORDER_0004,BOX_0004_0034,22.84,21.61,19.68,1
ORDER_0004,BOX_0004_0035,21.61,22.84,39.54,1
ORDER_0004,BOX_0004_0036,35.37,13.73,28.36,1
ORDER_0004,BOX_0004_0037,35.6,18.66,42.61,1
ORDER_0004,BOX_0004_0038,35.6,18.66,19.38,1
ORDER_0004,BOX_0004_0039,32.21,35.37,6.27,1
ORDER_0004,BOX_0004_0040,35.37,7.46,32.21,1
ORDER_0004,BOX_0004_0041,17.82,17.02,11.86,1
ORDER_0004,BOX_0004_0042,17.82,11.86,24.08,1
ORDER_0005,BOX_0005_0000,31.04,20.24,38.39,1
ORDER_0005,BOX_0005_0001,31.04,17.61,20.24,1
ORDER_0005,BOX_0005_0002,31.04,59.58,44.0,1
ORDER_0005,BOX_0005_0003,15.71,31.14,54.21,1
ORDER_0005,BOX_0005_0004,27.79,21.7,58.45,1
ORDER_0005,BOX_0005_0005,45.3,20.75,69.67,1
ORDER_0005,BOX_0005_0006,56.0,20.36,31.04,1
ORDER_0005,BOX_0005_0007,7.22,27.79,58.45,1
ORDER_0005,BOX_0005_0008,15.77,27.79,58.45,1
ORDER_0005,BOX_0005_0009,56.0,11.74,31.04,1
ORDER_0005,BOX_0005_0010,24.32,27.79,20.3,1
ORDER_0005,BOX_0005_0011,20.75,41.29,54.7,1
ORDER_0005,BOX_0005_0012,24.32,38.15,10.89,1
ORDER_0005,BOX_0005_0013,16.9,24.32,38.15,1
ORDER_0005,BOX_0005_0014,20.75,21.85,54.7,1
ORDER_0005,BOX_0005_0015,45.3,19.86,20.75,1
ORDER_0005,BOX_0005_0016,45.3,20.75,10.47,1
ORDER_0005,BOX_0005_0017,40.42,27.42,31.04,1
ORDER_0005,BOX_0005_0018,31.04,40.42,16.58,1
ORDER_0005,BOX_0005_0019,58.45,15.67,48.21,1
ORDER_0005,BOX_0005_0020,15.32,58.45,48.21,1
